"last_name, first_name",player_id,year,pa,bip,ba,xba,xba_minus_ba,slg,xslg,xslg_minus_slg,woba,xwoba,xwoba_minus_woba,barrel_batted_rate,hard_hit_percent,avg_exit_velocity,sweet_spot_percent,barrel_pa_rate,k_percentile,bb_percentile,chase_percentile,whiff_percentile,sprint_speed,oaa,bb_percent,k_percent,z_contact_percent,pull_percent,oppo_percent,babip,war,salary_2026,HR,R,RBI,AB,H,2B,3B,OBP,SLG,ISO,OPS,BA_bref,SB,SF,k_bref,bb_bref,salary_2026_fallback,salary_2026_fallback_bref,xiso,obp,iso,ops,hr,r,rbi,ab,h,k,bb,xhr,wrc_plus,war_per_salary,name,position_type,season,epi,cqi,pdi,rpi,se,la,uvs,tova_plus,upi,ops_2_0,tova_dollar,bov,bov_power,undervalued_rank
"Alvarez, Yordan",670541,2026,574,377,0.323,0.33,-0.007,0.614,0.67,-0.054,0.436,0.457,-0.021,17.0,53.6,94.5,41.9,11.1,71.0,97.0,58.0,75.0,7.0,,15.9,17.1,89.7,41.6,,0.34,5.86,26.833,36.0,88.0,91.0,472.0,152.0,28.0,1.0,0.437,0.614,0.292,1.051,0.322,1.0,4.0,99.0,91.0,,15.833,0.34,0.437,0.292,1.051,36.0,88.0,91.0,472.0,152.0,99.0,91.0,39.28,138.0,0.218,"Alvarez, Yordan",Hitter,2026,2.706328584102971,1.1969688882659122,2.6344724137900246,2.1185486196115133,-0.2002368902049132,0.3957227824565733,1.648477667914322,1.6752182131934945,0.8224848098145761,2.1401502181728373,,2.105741460195144,2.3153941960234796,1
"Tellez, Rowdy",642133,2026,11,7,0.2,0.339,-0.139,0.5,0.828,-0.3279999999999999,0.331,0.506,-0.175,28.6,42.9,91.8,57.1,18.2,,,,,,,9.1,27.3,80.0,14.3,,0.167,0.02,1.0,1.0,2.0,4.0,10.0,2.0,0.0,0.0,0.273,0.5,0.3,0.773,0.2,0.0,0.0,3.0,1.0,1.0,1.5,0.489,0.273,0.3,0.773,1.0,2.0,4.0,10.0,2.0,3.0,1.0,1.66,104.7,0.018,"Tellez, Rowdy",Hitter,2026,3.8887130361322724,1.7438008102623552,-0.3707536599902299,0.2750589069870648,-0.3767650320048959,3.3954162144763687,1.6084493263822117,2.083326076239206,1.8255241031287337,2.913366860597975,,2.622990953299932,3.025081477213724,2
"Wood, James",695578,2026,535,288,0.265,0.275,-0.01,0.536,0.585,-0.0499999999999999,0.395,0.419,-0.0239999999999999,20.8,57.6,95.1,39.2,11.2,12.0,98.0,92.0,15.0,46.0,7.0,16.8,28.6,81.8,32.6,,0.333,3.82,0.764,30.0,100.0,73.0,437.0,116.0,26.0,1.0,0.393,0.536,0.271,0.929,0.265,17.0,4.0,153.0,90.0,0.764,,0.31,0.393,0.271,0.929,30.0,100.0,73.0,437.0,116.0,153.0,90.0,32.74,125.0,4.421,"Wood, James",Hitter,2026,1.9588482551444382,1.3796329028266157,0.935697583800406,1.7594076933958032,3.5095020097217238,0.40644451073607596,1.5614990879766442,1.222298063392461,0.6712001678635917,1.7115250830869717,,1.712642435281095,1.885656894603823,3
"Wilson, Will",669717,2026,6,4,0.2,0.212,-0.0119999999999999,0.8,0.762,0.038,0.458,0.451,0.007,25.0,25.0,87.8,50.0,16.7,,,,,,,16.7,16.7,87.5,75.0,,0.0,0.09,0.78,1.0,1.0,2.0,5.0,1.0,0.0,0.0,0.333,0.8,0.6,1.133,0.2,0.0,0.0,1.0,1.0,,,0.55,0.333,0.6,1.133,1.0,1.0,2.0,5.0,1.0,1.0,1.0,0.95,144.9,0.102,"Wilson, Will",Hitter,2026,3.0977833713551366,0.9294886571529631,2.592008593981,1.715285259212527,-0.30262321244890317,-0.14879326421706907,1.5612960045818085,1.4095265182922732,0.3580817805484306,2.5364600211769845,,2.4241864592907776,2.8430782837239046,4
"Vargas, Miguel",678246,2026,578,387,0.251,0.268,-0.017,0.497,0.522,-0.025,0.371,0.39,-0.019,14.5,45.9,90.7,41.1,9.7,70.0,96.0,92.0,69.0,79.0,5.0,14.2,17.5,82.4,45.5,,0.257,4.47,0.77,29.0,91.0,76.0,483.0,121.0,30.0,1.0,0.364,0.497,0.246,0.861,0.251,13.0,5.0,101.0,82.0,0.77,,0.254,0.364,0.246,0.861,29.0,91.0,76.0,483.0,121.0,101.0,82.0,30.46,117.4,5.138,"Vargas, Miguel",Hitter,2026,1.445711032848438,0.8099720102253306,1.6192844157703399,1.5101112939004964,4.142355398074661,0.31827867069918986,1.4388949235851862,0.9406288671629728,0.5380675100234023,1.324550442054173,,1.2373906390705522,1.3550482469039373,5
"Crow-Armstrong, Pete",691718,2026,597,357,0.276,0.25,0.026,0.55,0.47,0.08,0.393,0.358,0.035,12.3,48.5,90.0,38.1,7.4,18.0,81.0,22.0,33.0,96.0,100.0,11.9,26.5,83.0,50.1,,0.334,7.92,0.894,33.0,93.0,83.0,511.0,141.0,27.0,7.0,0.374,0.55,0.274,0.924,0.276,32.0,3.0,158.0,71.0,0.771,,0.22,0.374,0.274,0.924,33.0,93.0,83.0,511.0,141.0,158.0,71.0,28.2,124.4,7.968,"Crow-Armstrong, Pete",Hitter,2026,0.9744658006736368,0.6822902028461668,0.4496201173962903,1.7756135189163142,6.640228604544417,-0.7522254268950951,1.3026598539494656,0.5166622534433554,-0.06106528301365391,0.8278123769132152,,0.8813057440473091,0.9694721278255592,6
"McGonigle, Kevin",805808,2026,581,419,0.278,0.262,0.016,0.423,0.433,-0.01,0.356,0.352,0.004,7.2,36.8,88.1,36.3,5.2,87.0,93.0,98.0,89.0,72.0,26.0,13.6,13.8,89.2,37.5,,0.306,6.04,0.78,14.0,84.0,56.0,496.0,138.0,24.0,3.0,0.379,0.423,0.145,0.802,0.278,12.0,3.0,80.0,79.0,,,0.171,0.379,0.145,0.802,14.0,84.0,56.0,496.0,138.0,80.0,79.0,14.33,112.7,6.864,"McGonigle, Kevin",Hitter,2026,0.7375648326908048,0.13363272715383617,2.5234004166012087,0.996666010284127,5.665793261808512,-0.10874633308921967,1.294832410508198,0.5713962858022302,0.2810550702343523,0.7329733696055123,,0.6361092323707981,0.6706514940428121,7
"Soto, Juan",665742,2026,359,247,0.283,0.297,-0.014,0.539,0.589,-0.0499999999999999,0.402,0.422,-0.0199999999999999,14.2,48.6,92.5,31.6,9.7,89.0,100.0,97.0,70.0,15.0,,17.5,13.4,86.0,39.7,,0.274,2.68,51.875,21.0,46.0,52.0,293.0,83.0,8.0,2.0,0.408,0.539,0.256,0.9470000000000001,0.283,7.0,2.0,48.0,63.0,62.025,51.875,0.292,0.408,0.256,0.9470000000000001,21.0,46.0,52.0,293.0,83.0,48.0,63.0,22.95,127.2,0.052,"Soto, Juan",Hitter,2026,2.0241801597410958,0.6614020232316979,2.891101812763416,1.2549863457854211,-0.34675524789889883,0.40860860889335276,1.2664240044633845,1.3225177112418005,0.7043939140901109,1.6981690244131065,,1.591077423953161,1.7404993100315307,8
"Caminero, Junior",691406,2026,579,403,0.28,0.273,0.007,0.531,0.495,0.036,0.381,0.365,0.016,12.9,50.5,93.1,26.3,9.0,64.0,79.0,51.0,43.0,28.0,1.0,11.7,18.3,84.3,46.9,,0.291,4.38,0.764,35.0,81.0,84.0,507.0,142.0,20.0,1.0,0.366,0.531,0.251,0.897,0.28,3.0,2.0,106.0,68.0,0.764,,0.222,0.366,0.251,0.897,35.0,81.0,84.0,507.0,142.0,106.0,68.0,32.63,120.6,5.069,"Caminero, Junior",Hitter,2026,1.1868100977577267,0.5310401113737144,1.3176311959209386,1.5798035716278591,4.081453189153667,-0.32214470713955246,1.2134566100479056,0.6967109974781043,0.1645797920042637,0.9505045169272683,,0.9460495962673919,1.0372418652898152,9
"Solak, Nick",669256,2026,10,8,0.143,0.26,-0.117,0.143,0.502,-0.359,0.232,0.373,-0.141,12.5,50.0,90.2,37.5,10.0,,,,,,,10.0,0.0,100.0,12.5,,0.125,-0.05,0.78,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.3,0.143,0.0,0.44299999999999995,0.143,0.0,1.0,0.0,1.0,,,0.242,0.3,0.0,0.44299999999999995,0.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,73.4,-0.057,"Solak, Nick",Hitter,2026,1.2445974597338056,0.7122082048522645,4.27711957373213,-1.0810893625317415,-0.4429630851798894,3.1516722661849976,1.2038664556844736,0.881278890435099,1.6622208932170486,1.2083043517127738,,0.9902917245288029,1.1474285698195965,10
"Camargo, Jair",665856,2026,2,1,0.5,0.322,0.178,1.0,0.648,0.352,0.631,0.407,0.224,100.0,100.0,108.1,100.0,50.0,,,,,,,0.0,50.0,66.7,0.0,0.0,1.0,0.06,0.78,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.5,1.0,0.5,1.5,0.5,0.0,0.0,1.0,0.0,,,0.326,0.5,0.5,1.5,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,199.7,0.068,"Camargo, Jair",Hitter,2026,2.363033926224188,7.327157038071874,-5.279519296693566,2.5046574210477854,-0.33263299655490025,-4.116921824869276,1.1950051256811374,1.2026196048508204,-0.6177763044030495,3.477896762951767,,3.5160568901220284,3.7728431658105923,11
"Jung, Jace",690291,2026,8,5,0.167,0.287,-0.1199999999999999,0.167,0.387,-0.22,0.286,0.392,-0.106,0.0,20.0,85.5,80.0,0.0,,,,,,,25.0,12.5,100.0,40.0,,0.2,-0.01,0.78,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.375,0.167,0.0,0.542,0.167,0.0,0.0,1.0,2.0,,,0.1,0.375,0.0,0.542,0.0,1.0,0.0,6.0,1.0,1.0,2.0,0.0,90.5,-0.011,"Jung, Jace",Hitter,2026,0.6429031144660214,0.5396015150490409,5.542690016757332,-0.7774042652777012,-0.4023616125658934,2.3623074782714037,1.1794335309188089,0.9814436041226826,1.5870936366322013,1.1431223382187987,,0.7950870943911806,0.7654944805453043,12
"Abreu, Wilyer",677800,2026,568,388,0.252,0.256,-0.004,0.458,0.48,-0.0219999999999999,0.341,0.352,-0.0109999999999999,12.6,44.3,89.9,35.8,8.6,54.0,69.0,49.0,44.0,70.0,86.0,10.7,20.4,82.4,36.9,,0.282,5.29,0.78,22.0,74.0,69.0,496.0,125.0,28.0,4.0,0.332,0.458,0.206,0.79,0.252,8.0,7.0,116.0,61.0,0.78,,0.224,0.332,0.206,0.79,22.0,74.0,69.0,496.0,125.0,116.0,61.0,23.06,107.9,6.011,"Abreu, Wilyer",Hitter,2026,1.020603908274697,0.5431750062261493,0.7735074616989137,1.0773584725318446,4.912900737031586,0.16920958668368868,1.1496269008200453,0.6702333258896628,0.33845638303056186,0.8437322065206453,,0.8522934070574206,0.9322169424671309,13
"Mederos, Victor",682989,2026,1,1,1.0,0.583,0.417,1.0,0.664,0.3359999999999999,0.89,0.543,0.347,0.0,100.0,103.7,0.0,0.0,,,,,,,0.0,0.0,100.0,100.0,0.0,1.0,,0.78,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,0.081,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,281.6,,"Mederos, Victor",Hitter,2026,3.3383844091332193,0.6896786385155449,2.644756684257527,2.9263940523077188,-0.39265256476689436,-6.401738876936879,1.1287652963008235,0.7669572588241641,-2.216415716259879,1.9534038180401265,,1.684688734925216,1.8940239939763566,14
"Wetherholt, JJ",802139,2026,578,406,0.245,0.26,-0.015,0.376,0.444,-0.068,0.326,0.355,-0.0289999999999999,7.6,45.4,90.0,36.0,5.4,78.0,71.0,95.0,74.0,56.0,100.0,10.9,16.1,85.2,36.5,,0.27,4.77,0.78,17.0,88.0,48.0,497.0,122.0,14.0,0.0,0.348,0.376,0.13,0.724,0.246,14.0,2.0,93.0,63.0,,,0.184,0.348,0.13,0.724,17.0,88.0,48.0,497.0,122.0,93.0,63.0,20.07,103.2,5.42,"Wetherholt, JJ",Hitter,2026,0.814829070675547,0.3766217546575034,1.481526121401135,0.7477883848199749,4.391260078012636,0.5500507844345665,1.107559880778274,0.6191863193134182,0.5077106570929358,0.7161914368219483,,0.6868027007740063,0.73529715098819,15
"Pages, Andy",681624,2026,550,391,0.272,0.272,0.0,0.458,0.438,0.02,0.346,0.34,0.0059999999999999,7.7,42.2,88.8,36.6,5.5,58.0,38.0,37.0,60.0,75.0,95.0,8.2,19.5,89.1,37.1,,0.305,5.6,0.77,21.0,72.0,80.0,493.0,134.0,25.0,2.0,0.338,0.458,0.186,0.796,0.272,12.0,5.0,107.0,45.0,0.77,,0.166,0.338,0.186,0.796,21.0,72.0,80.0,493.0,134.0,107.0,45.0,20.08,109.5,6.437,"Pages, Andy",Hitter,2026,0.7343888702456248,0.29509170241047966,1.0929016339271955,1.123557783363493,5.288905679065549,-0.14411984074468323,1.089563054469192,0.5135998313679017,0.1740632972668396,0.5388656288273169,,0.5736218358066262,0.6033562216208226,16
